"rank","song_name","last_week","peak_position","wks_on_rank","artist_name"
86 , Shining , 67 , 57 , 6 , DJ Khaled Featuring Beyonce & JAY Z
87 , Road Less Traveled , 80 , 80 , 9 , Lauren Alaina
88 , At My Best , -- , 88 , 1 , Machine Gun Kelly Featuring Hailee Steinfeld
89 , Galway Girl , 63 , 53 , 3 , Ed Sheeran
90 , Call On Me , 75 , 70 , 12 , Starley
91 , Losin Control , 79 , 79 , 4 , Russ
92 , Hometown Girl , 81 , 81 , 4 , Josh Turner
93 , The Weekend , 84 , 69 , 12 , Brantley Gilbert
94 , Perfect , 60 , 37 , 3 , Ed Sheeran
95 , Draco , 74 , 46 , 5 , Future
96 , Kill A Word , 83 , 71 , 15 , Eric Church Featuring Rhiannon Giddens
97 , Trap Trap Trap , -- , 97 , 1 , Rick Ross Featuring Young Thug & Wale
98 , Swalla , -- , 98 , 1 , Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
99 , Party Monster , 77 , 16 , 18 , The Weeknd
100 , How Far I'll Go , 76 , 56 , 16 , Alessia Cara
