@relation 'social_s (1)'

@attribute Date {4/8/2017,4/1/2017,3/25/2017,3/18/2017,3/11/2017,3/4/2017,2/25/2017,2/18/2017,2/11/2017,2/4/2017,1/28/2017,1/21/2017,1/14/2017,1/7/2017,12/31/2016,12/24/2016,12/17/2016,12/10/2016,12/3/2016,11/26/2016,11/19/2016,11/12/2016,11/5/2016,10/29/2016,10/22/2016,10/15/2016,10/8/2016,10/1/2016,9/24/2016,9/17/2016,9/10/2016,9/3/2016,8/27/2016,8/20/2016,8/13/2016,8/6/2016,7/30/2016,7/23/2016,7/16/2016,7/9/2016,7/2/2016,6/25/2016,6/18/2016,6/11/2016,6/4/2016,5/28/2016,5/21/2016,5/14/2016,5/7/2016,4/30/2016,4/23/2016,4/16/2016,4/9/2016,4/2/2016,3/26/2016,3/19/2016,3/12/2016,3/5/2016,2/27/2016,2/20/2016,2/13/2016,2/6/2016,1/30/2016,1/23/2016,1/16/2016,1/9/2016,1/2/2016,12/26/2015,12/19/2015,12/12/2015,12/5/2015,11/28/2015,11/21/2015,11/14/2015,11/7/2015,10/31/2015,10/24/2015,10/17/2015,10/10/2015,10/3/2015,9/26/2015,9/19/2015,9/12/2015,9/5/2015,8/29/2015,8/22/2015,8/15/2015,8/8/2015,8/1/2015,7/25/2015,7/18/2015,7/11/2015,7/4/2015,6/27/2015,6/20/2015,6/13/2015,6/6/2015,5/30/2015,5/23/2015,5/16/2015,5/9/2015,5/2/2015,4/25/2015,4/18/2015,4/11/2015,4/4/2015,3/28/2015,3/21/2015,3/14/2015,3/7/2015,2/28/2015,2/21/2015,2/14/2015,2/7/2015,1/31/2015,1/24/2015,1/17/2015,1/10/2015,1/3/2015,12/27/2014,12/20/2014,12/13/2014,12/6/2014,11/29/2014,11/22/2014,11/15/2014,11/8/2014,11/1/2014,10/25/2014,10/18/2014,10/11/2014,10/4/2014,9/27/2014,9/20/2014,9/13/2014,9/6/2014,8/30/2014,8/23/2014,8/16/2014,8/9/2014,8/2/2014,7/26/2014}
@attribute S_rank numeric
@attribute S_last_week numeric
@attribute S_peak_position numeric
@attribute S_wks_on_rank numeric
@attribute A_rank numeric
@attribute A_last_week numeric
@attribute A_peak_position numeric
@attribute A_wks_on_rank numeric
@attribute O_rank numeric
@attribute O_last_week numeric
@attribute O_peak_position numeric
@attribute O_wks_on_rank numeric
@attribute Cls numeric
@attribute Class numeric

@data
10/8/2016,20,17,13,19,7,6,1,115,3,3,13,201,3,1
10/8/2016,89,88,13,8,9,8,2,115,20,4,1,302,1,1
10/8/2016,24,120,24,1,14,34,1,84,33,120,13,56,-96,0
10/8/2016,17,18,1,20,24,24,2,71,46,39,1,264,-1,0
10/8/2016,66,53,13,19,25,27,1,115,38,46,13,66,13,1
10/8/2016,42,15,15,2,58,13,2,17,14,8,1,300,27,1
10/8/2016,96,94,71,4,82,58,1,117,24,7,13,276,2,1
10/1/2016,2,2,2,13,2,2,1,74,16,27,13,27,0,1
10/1/2016,9,6,5,27,2,2,1,74,16,27,13,27,3,1
10/1/2016,38,37,2,52,2,2,1,74,16,27,13,27,1,1
10/1/2016,30,27,16,20,3,1,1,116,6,7,13,279,3,1
10/1/2016,87,77,49,14,3,1,1,116,6,7,13,279,10,1
10/1/2016,11,9,7,33,5,4,2,112,15,3,1,293,2,1
10/1/2016,17,15,13,18,6,8,1,114,3,1,13,200,2,1
10/1/2016,10,8,8,18,7,7,2,85,12,19,1,219,2,1
10/1/2016,88,69,13,7,8,9,2,114,4,11,1,301,19,1
10/1/2016,8,13,6,15,9,12,1,84,1,2,13,91,-5,0
10/1/2016,15,120,15,1,13,67,2,16,8,5,1,299,-105,0
10/1/2016,47,98,47,2,18,18,2,66,42,21,1,90,-51,0
10/1/2016,56,59,37,19,18,18,2,66,42,21,1,90,-3,0
10/1/2016,18,16,1,19,24,24,2,70,39,40,1,263,2,1
10/1/2016,53,48,13,18,27,20,1,114,46,120,13,65,5,1
10/1/2016,72,62,11,9,39,34,2,116,9,12,1,304,10,1
10/1/2016,94,90,71,3,58,79,1,116,7,35,13,275,4,1
9/24/2016,27,26,16,19,1,3,1,115,7,9,13,278,1,1
9/24/2016,77,120,49,13,1,3,1,115,7,9,13,278,-43,0
9/24/2016,2,3,2,12,2,4,1,73,27,38,13,26,-1,0
9/24/2016,6,7,5,26,2,4,1,73,27,38,13,26,-1,0
9/24/2016,37,37,2,51,2,4,1,73,27,38,13,26,0,1
9/24/2016,9,10,7,32,4,6,2,111,3,6,1,292,-1,0
9/24/2016,97,120,83,3,4,6,2,111,3,6,1,292,-23,0
9/24/2016,8,11,8,17,7,10,2,84,19,120,1,218,-3,0
9/24/2016,15,15,13,17,8,9,1,113,1,1,13,199,0,1
9/24/2016,65,62,11,20,9,8,2,113,11,2,1,300,3,1
9/24/2016,69,120,13,6,9,8,2,113,11,2,1,300,-51,0
9/24/2016,13,8,6,14,12,13,1,83,2,15,13,90,5,1
9/24/2016,59,69,37,18,18,27,2,65,21,21,1,89,-10,0
9/24/2016,98,120,47,1,18,27,2,65,21,21,1,89,-22,0
9/24/2016,100,90,34,14,18,27,2,65,21,21,1,89,10,1
9/24/2016,16,14,1,18,24,23,2,69,40,120,1,262,2,1
9/24/2016,62,53,11,8,34,42,2,115,12,23,1,303,9,1
9/24/2016,89,79,39,15,39,30,1,102,26,13,13,301,10,1
9/24/2016,90,71,71,2,79,52,1,115,35,10,13,274,19,1
9/24/2016,84,84,49,5,83,92,1,3,50,120,13,2,0,1
9/17/2016,26,24,16,18,3,2,1,114,9,4,13,277,2,1
9/17/2016,3,4,2,11,4,3,1,72,38,31,13,25,-1,0
9/17/2016,7,5,5,25,4,3,1,72,38,31,13,25,2,1
9/17/2016,37,37,2,50,4,3,1,72,38,31,13,25,0,1
9/17/2016,10,11,7,31,6,4,2,110,6,8,1,291,-1,0
9/17/2016,62,68,11,19,8,13,2,112,2,9,1,299,-6,0
9/17/2016,15,15,13,16,9,6,1,112,1,1,13,198,0,1
9/17/2016,8,10,6,13,13,8,1,82,15,2,13,89,-2,0
9/17/2016,27,28,25,14,20,17,2,78,30,28,1,169,-1,0
9/17/2016,69,71,37,17,27,41,2,64,21,23,1,88,-2,0
9/17/2016,90,120,34,13,27,41,2,64,21,23,1,88,-30,0
9/17/2016,86,64,41,20,29,34,1,59,48,120,13,36,22,1
9/17/2016,79,77,39,14,30,25,1,101,13,11,13,300,2,1
9/17/2016,53,44,11,7,42,27,2,114,23,25,1,302,9,1
9/17/2016,71,120,71,1,52,95,1,114,10,50,13,273,-49,0
9/10/2016,24,22,16,17,2,1,1,113,4,5,13,276,2,1
9/10/2016,4,4,2,10,3,2,1,71,31,19,13,24,0,1
9/10/2016,5,6,5,24,3,2,1,71,31,19,13,24,-1,0
9/10/2016,37,34,2,49,3,2,1,71,31,19,13,24,3,1
9/10/2016,11,11,7,30,4,3,2,109,8,7,1,290,0,1
9/10/2016,15,13,13,15,6,6,1,111,1,1,13,197,2,1
9/10/2016,9,10,8,15,7,4,2,82,35,10,1,217,-1,0
9/10/2016,10,12,6,12,8,7,1,81,2,2,13,88,-2,0
9/10/2016,95,120,15,1,8,7,1,81,2,2,13,88,-25,0
9/10/2016,48,46,1,41,10,8,2,112,5,6,1,301,2,1
9/10/2016,68,60,11,18,13,13,2,111,9,32,1,298,8,1
9/10/2016,12,9,1,16,15,16,2,67,38,120,1,261,3,1
9/10/2016,28,35,25,13,17,36,2,77,28,120,1,168,-7,0
9/10/2016,77,68,39,13,25,17,1,100,11,3,13,299,9,1
9/10/2016,44,39,11,6,27,20,2,113,25,16,1,301,5,1
9/10/2016,71,74,37,16,41,30,2,63,23,120,1,87,-3,0
9/10/2016,87,94,49,3,85,120,1,1,45,120,13,1,-7,0
9/3/2016,22,22,16,16,1,1,1,112,5,7,13,275,0,1
9/3/2016,4,4,2,9,2,2,1,70,19,19,13,23,0,1
9/3/2016,6,7,5,23,2,2,1,70,19,19,13,23,-1,0
9/3/2016,34,35,2,48,2,2,1,70,19,19,13,23,-1,0
9/3/2016,11,10,7,29,3,3,2,108,7,6,1,289,1,1
9/3/2016,100,120,83,2,3,3,2,108,7,6,1,289,-20,0
9/3/2016,10,11,8,14,4,6,2,81,10,27,1,216,-1,0
9/3/2016,13,13,13,14,6,8,1,110,1,2,13,196,0,1
9/3/2016,12,14,6,11,7,12,1,80,2,4,13,87,-2,0
9/3/2016,46,44,1,40,8,4,2,111,6,1,1,300,2,1
9/3/2016,60,55,11,17,13,13,2,110,32,18,1,297,5,1
9/3/2016,68,63,39,12,17,18,1,99,3,5,13,298,5,1
9/3/2016,39,29,11,5,20,17,2,112,16,16,1,300,10,1
9/3/2016,81,120,72,2,97,87,1,5,11,8,13,11,-39,0
8/27/2016,22,21,16,15,1,1,1,111,7,5,13,274,1,1
8/27/2016,4,11,2,8,2,2,1,69,19,22,13,22,-7,0
8/27/2016,7,7,5,22,2,2,1,69,19,22,13,22,0,1
8/27/2016,35,33,2,47,2,2,1,69,19,22,13,22,2,1
8/27/2016,10,8,7,28,3,4,2,107,6,4,1,288,2,1
8/27/2016,44,39,1,39,4,7,2,110,1,2,1,299,5,1
8/27/2016,50,45,1,42,4,7,2,110,1,2,1,299,5,1
8/27/2016,11,10,8,13,6,5,2,80,27,19,1,215,1,1
8/27/2016,13,22,13,13,8,8,1,109,2,1,13,195,-9,0
8/27/2016,20,14,13,13,10,6,1,109,47,32,13,64,6,1
8/27/2016,14,18,6,10,12,15,1,79,4,3,13,86,-4,0
8/27/2016,55,42,11,16,13,11,2,109,18,38,1,296,13,1
8/27/2016,9,4,1,14,14,14,2,65,36,120,1,260,5,1
8/27/2016,29,43,11,4,17,24,2,111,16,9,1,299,-14,0
8/27/2016,63,55,39,11,18,19,1,98,5,6,13,297,8,1
8/27/2016,58,49,41,17,29,25,1,56,39,120,13,35,9,1
8/20/2016,21,18,16,14,1,1,1,110,5,6,13,273,3,1
8/20/2016,7,7,5,21,2,2,1,68,22,19,13,21,0,1
8/20/2016,11,15,2,7,2,2,1,68,22,19,13,21,-4,0
8/20/2016,33,28,2,46,2,2,1,68,22,19,13,21,5,1
8/20/2016,8,8,7,27,4,3,2,106,4,11,1,287,0,1
8/20/2016,10,9,8,12,5,5,2,79,19,17,1,214,1,1
8/20/2016,14,13,13,12,6,9,1,108,32,120,13,63,1,1
8/20/2016,39,33,1,38,7,4,2,109,2,1,1,298,6,1
8/20/2016,45,41,1,41,7,4,2,109,2,1,1,298,4,1
8/20/2016,22,23,13,12,8,10,1,108,1,3,13,194,-1,0
8/20/2016,48,36,8,21,8,10,1,108,1,3,13,194,12,1
8/20/2016,42,34,11,15,11,7,2,108,38,5,1,295,8,1
8/20/2016,18,16,6,9,15,11,1,78,3,4,13,85,2,1
8/20/2016,55,53,39,10,19,14,1,97,6,2,13,296,2,1
8/20/2016,43,43,11,3,24,25,2,110,9,13,1,298,0,1
8/13/2016,18,18,16,13,1,1,1,109,6,17,13,272,0,1
8/13/2016,7,6,5,20,2,2,1,67,19,22,13,20,1,1
8/13/2016,15,22,2,6,2,2,1,67,19,22,13,20,-7,0
8/13/2016,28,29,2,45,2,2,1,67,19,22,13,20,-1,0
8/13/2016,8,7,7,26,3,3,2,105,11,15,1,286,1,1
8/13/2016,33,37,1,37,4,4,2,108,1,1,1,297,-4,0
8/13/2016,41,45,1,40,4,4,2,108,1,1,1,297,-4,0
8/13/2016,9,10,8,11,5,5,2,78,17,14,1,213,-1,0
8/13/2016,34,31,11,14,7,6,2,107,5,32,1,294,3,1
8/13/2016,23,24,13,11,10,11,1,107,3,2,13,193,-1,0
8/13/2016,36,36,8,20,10,11,1,107,3,2,13,193,0,1
8/13/2016,16,21,6,8,11,13,1,77,4,3,13,84,-5,0
8/13/2016,5,4,1,12,13,12,2,63,43,41,1,259,1,1
8/13/2016,53,50,39,9,14,17,1,96,2,5,13,295,3,1
8/13/2016,43,11,11,2,25,9,2,109,13,12,1,297,32,1
8/13/2016,42,51,25,9,26,33,2,73,41,46,1,167,-9,0
8/13/2016,74,71,34,11,37,49,2,59,34,120,1,86,3,1
8/13/2016,94,120,37,12,37,49,2,59,34,120,1,86,-26,0
8/13/2016,72,120,72,1,58,120,1,2,9,13,13,8,-48,0
8/6/2016,18,16,16,12,1,1,1,108,17,27,13,271,2,1
8/6/2016,95,93,49,12,1,1,1,108,17,27,13,271,2,1
8/6/2016,6,6,5,19,2,2,1,66,22,23,13,19,0,1
8/6/2016,22,23,2,5,2,2,1,66,22,23,13,19,-1,0
8/6/2016,29,25,2,44,2,2,1,66,22,23,13,19,4,1
8/6/2016,7,7,7,25,3,3,2,104,15,15,1,285,0,1
8/6/2016,97,120,83,1,3,3,2,104,15,15,1,285,-23,0
8/6/2016,37,30,1,36,4,6,2,107,1,1,1,296,7,1
8/6/2016,45,42,1,39,4,6,2,107,1,1,1,296,3,1
8/6/2016,10,10,8,10,5,4,2,77,14,21,1,212,0,1
8/6/2016,31,28,11,13,6,7,2,106,32,17,1,293,3,1
8/6/2016,14,15,13,10,8,8,1,106,50,49,13,62,-1,0
8/6/2016,85,78,3,20,8,8,1,106,50,49,13,62,7,1
8/6/2016,11,120,11,1,9,47,2,108,12,5,1,296,-109,0
8/6/2016,24,33,13,10,11,12,1,106,2,6,13,192,-9,0
8/6/2016,36,24,8,19,11,12,1,106,2,6,13,192,12,1
8/6/2016,4,2,1,11,12,9,2,62,41,120,1,258,2,1
8/6/2016,21,20,6,7,13,11,1,76,3,3,13,83,1,1
8/6/2016,50,51,39,8,17,18,1,95,5,8,13,294,-1,0
8/6/2016,51,54,25,8,33,55,2,72,46,120,1,166,-3,0
8/6/2016,68,120,68,1,50,83,2,60,6,2,1,122,-52,0
8/6/2016,84,120,84,1,63,87,1,76,7,11,13,286,-36,0
7/30/2016,16,18,16,11,1,2,1,107,27,27,13,270,-2,0
7/30/2016,93,92,49,11,1,2,1,107,27,27,13,270,1,1
7/30/2016,6,8,5,18,2,3,1,65,23,24,13,18,-2,0
7/30/2016,23,26,2,4,2,3,1,65,23,24,13,18,-3,0
7/30/2016,25,23,2,43,2,3,1,65,23,24,13,18,2,1
7/30/2016,7,7,7,24,3,4,2,103,15,13,1,284,0,1
7/30/2016,10,12,8,9,4,7,2,76,21,38,1,211,-2,0
7/30/2016,30,28,1,35,6,5,2,106,1,1,1,295,2,1
7/30/2016,42,39,1,38,6,5,2,106,1,1,1,295,3,1
7/30/2016,28,27,11,12,7,6,2,105,17,9,1,292,1,1
7/30/2016,15,15,13,9,8,9,1,105,49,35,13,61,0,1
7/30/2016,78,78,3,19,8,9,1,105,49,35,13,61,0,1
7/30/2016,20,35,6,6,11,15,1,75,3,5,13,82,-15,0
7/30/2016,24,21,8,18,12,11,1,105,6,4,13,191,3,1
7/30/2016,33,41,13,9,12,11,1,105,6,4,13,191,-8,0
7/30/2016,51,51,39,7,18,17,1,94,8,6,13,293,0,1
7/30/2016,41,46,41,13,22,18,1,52,43,44,13,34,-5,0
7/30/2016,88,75,34,9,51,44,2,57,32,120,1,85,13,1
7/30/2016,100,120,37,11,51,44,2,57,32,120,1,85,-20,0
7/30/2016,48,38,1,24,53,42,1,25,14,12,13,25,10,1
7/23/2016,18,19,16,10,2,1,1,106,27,13,13,269,-1,0
7/23/2016,92,88,49,10,2,1,1,106,27,13,13,269,4,1
7/23/2016,95,93,40,10,2,1,1,106,27,13,13,269,2,1
7/23/2016,97,84,33,10,2,1,1,106,27,13,13,269,13,1
7/23/2016,8,9,5,17,3,2,1,64,24,23,13,17,-1,0
7/23/2016,23,23,2,42,3,2,1,64,24,23,13,17,0,1
7/23/2016,26,18,2,3,3,2,1,64,24,23,13,17,8,1
7/23/2016,7,7,7,23,4,3,2,102,13,5,1,283,0,1
7/23/2016,28,28,1,34,5,5,2,105,1,1,1,294,0,1
7/23/2016,39,37,1,37,5,5,2,105,1,1,1,294,2,1
7/23/2016,27,26,11,11,6,4,2,104,9,4,1,291,1,1
7/23/2016,12,13,8,8,7,6,2,75,38,22,1,210,-1,0
7/23/2016,15,16,13,8,9,7,1,104,35,42,13,60,-1,0
7/23/2016,78,62,3,18,9,7,1,104,35,42,13,60,16,1
7/23/2016,2,2,1,9,10,8,2,60,37,50,1,257,0,1
7/23/2016,21,17,8,17,11,9,1,104,4,3,13,190,4,1
7/23/2016,41,47,13,8,11,9,1,104,4,3,13,190,-6,0
7/23/2016,35,38,6,5,15,28,1,74,5,14,13,81,-3,0
7/23/2016,51,42,39,6,17,19,1,93,6,10,13,292,9,1
7/23/2016,46,43,41,12,18,17,1,51,44,120,13,33,3,1
7/23/2016,38,36,1,23,42,39,1,24,12,12,13,24,2,1
7/23/2016,34,120,34,1,46,120,1,12,40,120,13,1,-86,0
7/23/2016,61,77,25,6,62,65,2,70,50,48,1,165,-16,0
7/16/2016,19,20,16,9,1,1,1,105,13,12,13,268,-1,0
7/16/2016,84,77,33,9,1,1,1,105,13,12,13,268,7,1
7/16/2016,88,81,49,9,1,1,1,105,13,12,13,268,7,1
7/16/2016,93,91,40,9,1,1,1,105,13,12,13,268,2,1
7/16/2016,9,10,5,16,2,3,1,63,23,18,13,16,-1,0
7/16/2016,18,14,2,2,2,3,1,63,23,18,13,16,4,1
7/16/2016,23,22,2,41,2,3,1,63,23,18,13,16,1,1
7/16/2016,7,8,7,22,3,4,2,101,5,7,1,282,-1,0
7/16/2016,26,32,11,10,4,5,2,103,4,10,1,290,-6,0
7/16/2016,28,25,1,33,5,6,2,104,1,1,1,293,3,1
7/16/2016,37,37,1,36,5,6,2,104,1,1,1,293,0,1
7/16/2016,13,19,8,7,6,8,2,74,22,25,1,209,-6,0
7/16/2016,16,18,13,7,7,7,1,103,42,40,13,59,-2,0
7/16/2016,62,48,3,17,7,7,1,103,42,40,13,59,14,1
7/16/2016,2,2,1,8,8,9,2,59,50,41,1,256,0,1
7/16/2016,17,15,8,16,9,10,1,103,3,3,13,189,2,1
7/16/2016,47,44,13,7,9,10,1,103,3,3,13,189,3,1
7/16/2016,42,39,39,5,19,11,1,92,10,2,13,291,3,1
7/16/2016,38,50,6,4,28,34,1,73,14,16,13,80,-12,0
7/16/2016,71,120,34,7,29,42,2,55,41,28,1,84,-49,0
7/16/2016,95,98,37,10,29,42,2,55,41,28,1,84,-3,0
7/16/2016,36,30,1,22,39,31,1,23,12,4,13,23,6,1
7/16/2016,77,85,25,5,65,65,2,69,48,120,1,164,-8,0
7/16/2016,92,87,63,9,74,82,1,13,20,37,13,287,5,1
7/9/2016,20,23,16,8,1,1,1,104,12,13,13,267,-3,0
7/9/2016,77,69,33,8,1,1,1,104,12,13,13,267,8,1
7/9/2016,81,73,49,8,1,1,1,104,12,13,13,267,8,1
7/9/2016,91,79,40,8,1,1,1,104,12,13,13,267,12,1
7/9/2016,67,120,67,1,2,71,1,2,38,20,13,30,-53,0
7/9/2016,10,13,5,15,3,6,1,62,18,24,13,15,-3,0
7/9/2016,14,120,2,1,3,6,1,62,18,24,13,15,-106,0
7/9/2016,22,21,2,40,3,6,1,62,18,24,13,15,1,1
7/9/2016,8,7,7,21,4,2,2,100,7,12,1,281,1,1
7/9/2016,99,89,62,12,4,2,2,100,7,12,1,281,10,1
7/9/2016,32,38,11,9,5,4,2,102,10,7,1,289,-6,0
7/9/2016,25,19,1,32,6,3,2,103,1,1,1,292,6,1
7/9/2016,37,33,1,35,6,3,2,103,1,1,1,292,4,1
7/9/2016,18,18,13,6,7,10,1,102,40,45,13,58,0,1
7/9/2016,48,54,3,16,7,10,1,102,40,45,13,58,-6,0
7/9/2016,19,20,8,6,8,9,2,73,25,38,1,208,-1,0
7/9/2016,2,2,1,7,9,7,2,58,41,49,1,255,0,1
7/9/2016,15,15,8,15,10,8,1,102,3,2,13,188,0,1
7/9/2016,44,50,13,6,10,8,1,102,3,2,13,188,-6,0
7/9/2016,39,44,39,4,11,18,1,91,2,3,13,290,-5,0
7/9/2016,41,43,41,10,24,24,1,49,39,120,13,32,-2,0
7/9/2016,30,26,1,21,31,34,1,22,4,18,13,22,4,1
7/9/2016,50,63,6,3,34,35,1,72,16,17,13,79,-13,0
7/9/2016,98,97,37,9,42,39,2,54,28,120,1,83,1,1
7/9/2016,58,52,50,18,62,75,1,44,43,120,13,1,6,1
7/9/2016,87,70,63,8,82,78,1,12,37,40,13,286,17,1
7/2/2016,23,24,16,7,1,1,1,103,13,10,13,266,-1,0
7/2/2016,69,69,33,7,1,1,1,103,13,10,13,266,0,1
7/2/2016,73,72,49,7,1,1,1,103,13,10,13,266,1,1
7/2/2016,79,73,40,7,1,1,1,103,13,10,13,266,6,1
7/2/2016,7,9,7,20,2,4,2,99,12,31,1,280,-2,0
7/2/2016,89,96,62,11,2,4,2,99,12,31,1,280,-7,0
7/2/2016,19,19,1,31,3,3,2,102,1,1,1,291,0,1
7/2/2016,33,36,1,34,3,3,2,102,1,1,1,291,-3,0
7/2/2016,38,41,11,8,4,2,2,101,7,18,1,288,-3,0
7/2/2016,13,15,5,14,6,6,1,61,24,29,13,14,-2,0
7/2/2016,21,21,2,39,6,6,1,61,24,29,13,14,0,1
7/2/2016,2,3,1,6,7,8,2,57,49,42,1,254,-1,0
7/2/2016,15,14,8,14,8,5,1,101,2,2,13,187,1,1
7/2/2016,50,47,13,5,8,5,1,101,2,2,13,187,3,1
7/2/2016,20,28,8,5,9,9,2,72,38,19,1,207,-8,0
7/2/2016,18,31,13,5,10,11,1,101,45,44,13,57,-13,0
7/2/2016,54,50,3,15,10,11,1,101,45,44,13,57,4,1
7/2/2016,44,52,39,3,18,22,1,90,3,5,13,289,-8,0
7/2/2016,26,20,1,20,34,31,1,21,18,9,13,21,6,1
7/2/2016,63,34,6,2,35,20,1,71,17,15,13,78,29,1
7/2/2016,88,120,25,3,68,73,2,67,37,34,1,163,-32,0
7/2/2016,70,120,63,7,78,120,1,11,40,38,13,285,-50,0
6/25/2016,24,25,16,6,1,1,1,102,10,7,13,265,-1,0
6/25/2016,69,54,33,6,1,1,1,102,10,7,13,265,15,1
6/25/2016,72,60,49,6,1,1,1,102,10,7,13,265,12,1
6/25/2016,73,61,40,6,1,1,1,102,10,7,13,265,12,1
6/25/2016,91,80,53,6,1,1,1,102,10,7,13,265,11,1
6/25/2016,41,40,11,7,2,2,2,100,18,23,1,287,1,1
6/25/2016,88,82,10,7,2,2,2,100,18,23,1,287,6,1
6/25/2016,19,16,1,30,3,4,2,101,1,1,1,290,3,1
6/25/2016,36,31,1,33,3,4,2,101,1,1,1,290,5,1
6/25/2016,9,8,7,19,4,5,2,98,31,14,1,279,1,1
6/25/2016,96,94,62,10,4,5,2,98,31,14,1,279,2,1
6/25/2016,14,11,8,13,5,8,1,100,2,4,13,186,3,1
6/25/2016,47,48,13,4,5,8,1,100,2,4,13,186,-1,0
6/25/2016,15,22,5,13,6,12,1,60,29,27,13,13,-7,0
6/25/2016,21,18,2,38,6,12,1,60,29,27,13,13,3,1
6/25/2016,3,3,1,5,8,9,2,56,42,34,1,253,0,1
6/25/2016,28,32,8,4,9,10,2,71,19,21,1,206,-4,0
6/25/2016,31,37,13,4,11,11,1,100,44,20,13,56,-6,0
6/25/2016,50,43,3,14,11,11,1,100,44,20,13,56,7,1
6/25/2016,34,120,6,1,20,23,1,70,15,2,13,77,-86,0
6/25/2016,52,74,39,2,22,15,1,89,5,3,13,288,-22,0
6/25/2016,44,51,41,8,25,19,1,47,47,120,13,31,-7,0
6/25/2016,20,15,1,19,31,28,1,20,9,17,13,20,5,1
6/25/2016,97,120,37,7,41,37,2,52,50,120,1,82,-23,0
6/18/2016,25,21,16,5,1,1,1,101,7,7,13,264,4,1
6/18/2016,54,45,33,5,1,1,1,101,7,7,13,264,9,1
6/18/2016,60,57,49,5,1,1,1,101,7,7,13,264,3,1
6/18/2016,61,55,40,5,1,1,1,101,7,7,13,264,6,1
6/18/2016,80,65,53,5,1,1,1,101,7,7,13,264,15,1
6/18/2016,87,72,45,5,1,1,1,101,7,7,13,264,15,1
6/18/2016,40,39,11,6,2,4,2,99,23,4,1,286,1,1
6/18/2016,82,75,10,6,2,4,2,99,23,4,1,286,7,1
6/18/2016,16,17,1,29,4,6,2,100,1,1,1,289,-1,0
6/18/2016,31,33,1,32,4,6,2,100,1,1,1,289,-2,0
6/18/2016,8,9,7,18,5,5,2,97,14,9,1,278,-1,0
6/18/2016,94,91,62,9,5,5,2,97,14,9,1,278,3,1
6/18/2016,11,8,8,12,8,2,1,99,4,2,13,185,3,1
6/18/2016,48,51,13,3,8,2,1,99,4,2,13,185,-3,0
6/18/2016,3,3,1,4,9,10,2,55,34,28,1,252,0,1
6/18/2016,32,26,8,3,10,9,2,70,21,19,1,205,6,1
6/18/2016,37,41,13,3,11,8,1,99,20,18,13,55,-4,0
6/18/2016,43,35,3,13,11,8,1,99,20,18,13,55,8,1
6/18/2016,18,18,2,37,12,11,1,59,27,120,13,12,0,1
6/18/2016,22,30,5,12,12,11,1,59,27,120,13,12,-8,0
6/18/2016,34,32,17,22,13,25,1,23,48,47,13,5,2,1
6/18/2016,52,120,46,22,13,25,1,23,48,47,13,5,-68,0
6/18/2016,74,120,39,1,15,19,1,88,3,3,13,287,-46,0
6/18/2016,15,12,1,18,28,23,1,19,17,13,13,19,3,1
6/18/2016,90,87,23,17,93,93,1,27,15,21,13,54,3,1
6/11/2016,21,22,16,4,1,1,1,100,7,9,13,263,-1,0
6/11/2016,45,35,33,4,1,1,1,100,7,9,13,263,10,1
6/11/2016,55,47,40,4,1,1,1,100,7,9,13,263,8,1
6/11/2016,57,55,49,4,1,1,1,100,7,9,13,263,2,1
6/11/2016,65,61,53,4,1,1,1,100,7,9,13,263,4,1
6/11/2016,72,60,45,4,1,1,1,100,7,9,13,263,12,1
6/11/2016,82,68,44,4,1,1,1,100,7,9,13,263,14,1
6/11/2016,85,75,75,4,1,1,1,100,7,9,13,263,10,1
6/11/2016,95,83,61,3,1,1,1,100,7,9,13,263,12,1
6/11/2016,8,14,8,11,2,8,1,98,2,2,13,184,-6,0
6/11/2016,51,120,13,2,2,8,1,98,2,2,13,184,-69,0
6/11/2016,39,40,11,5,4,2,2,98,4,26,1,285,-1,0
6/11/2016,75,63,10,5,4,2,2,98,4,26,1,285,12,1
6/11/2016,93,74,13,5,4,2,2,98,4,26,1,285,19,1
6/11/2016,9,10,7,17,5,6,2,96,9,5,1,277,-1,0
6/11/2016,83,120,5,1,5,6,2,96,9,5,1,277,-37,0
6/11/2016,91,78,62,8,5,6,2,96,9,5,1,277,13,1
6/11/2016,17,11,1,28,6,5,2,99,1,1,1,288,6,1
6/11/2016,33,29,1,31,6,5,2,99,1,1,1,288,4,1
6/11/2016,35,19,3,12,8,3,1,98,18,16,13,54,16,1
6/11/2016,41,39,13,2,8,3,1,98,18,16,13,54,2,1
6/11/2016,26,120,8,2,9,11,2,69,19,18,1,204,-94,0
6/11/2016,3,3,1,3,10,7,2,54,28,14,1,251,0,1
6/11/2016,12,9,1,17,23,20,1,18,13,10,13,18,3,1
6/11/2016,32,27,17,21,25,21,1,22,47,49,13,4,5,1
6/11/2016,14,17,9,32,27,39,1,24,46,50,13,2,-3,0
6/11/2016,46,42,12,26,46,48,1,61,50,120,13,12,4,1
6/11/2016,87,120,23,16,93,80,1,26,21,12,13,53,-33,0
6/4/2016,22,35,16,3,1,1,1,99,9,11,13,262,-13,0
6/4/2016,35,49,33,3,1,1,1,99,9,11,13,262,-14,0
6/4/2016,47,56,40,3,1,1,1,99,9,11,13,262,-9,0
6/4/2016,55,66,49,3,1,1,1,99,9,11,13,262,-11,0
6/4/2016,60,73,45,3,1,1,1,99,9,11,13,262,-13,0
6/4/2016,61,74,53,3,1,1,1,99,9,11,13,262,-13,0
6/4/2016,68,80,44,3,1,1,1,99,9,11,13,262,-12,0
