rank,artist_name,last_week,peak_position,wks_on_rank,date
1, BTS ,1,2,25, 4/15/2017
2, Ariana Grande ,4,2,228, 4/15/2017
3, Justin Bieber ,2,1,332, 4/15/2017
4, Shawn Mendes ,5,2,119, 4/15/2017
5, Nicki Minaj ,12,2,327, 4/15/2017
6, Zayn ,8,2,60, 4/15/2017
7, Louis Tomlinson ,38,2,15, 4/15/2017
8, Maluma ,9,2,24, 4/15/2017
9, Ed Sheeran ,6,3,117, 4/15/2017
10, Lali ,45,2,42, 4/15/2017
11, Demi Lovato ,11,2,321, 4/15/2017
12, Martin Garrix ,26,2,142, 4/15/2017
13, Chris Brown ,10,2,302, 4/15/2017
14, Selena Gomez ,7,2,328, 4/15/2017
15, Shakira ,18,2,326, 4/15/2017
16, The Weeknd ,14,2,80, 4/15/2017
17, Drake ,3,2,307, 4/15/2017
18, Katy Perry ,20,1,328, 4/15/2017
19, Gorillaz ,120,2,1, 4/15/2017
20, The Chainsmokers ,43,2,34, 4/15/2017
21, Rihanna ,17,1,321, 4/15/2017
22, Adele ,16,1,240, 4/15/2017
23, Niall Horan ,23,2,26, 4/15/2017
24, Madison Beer ,120,2,4, 4/15/2017
25, Bruno Mars ,22,2,261, 4/15/2017
26, Lady Gaga ,120,1,322, 4/15/2017
27, TAEYEON ,120,2,7, 4/15/2017
28, Liam Payne ,120,2,10, 4/15/2017
29, Wiz Khalifa ,31,2,316, 4/15/2017
30, J Balvin ,24,2,22, 4/15/2017
31, Marshmello ,42,2,26, 4/15/2017
32, Lauren Jauregui ,15,2,17, 4/15/2017
33, Snoop Dogg ,27,2,293, 4/15/2017
34, BLACKPINK ,120,2,8, 4/15/2017
35, Steve Aoki ,120,2,8, 4/15/2017
36, Jennifer Lopez ,21,2,317, 4/15/2017
37, Jacob Sartorius ,48,2,43, 4/15/2017
38, twenty one pilots ,44,2,50, 4/15/2017
39, GOT7 ,120,2,2, 4/15/2017
40, Britney Spears ,30,2,283, 4/15/2017
41, Taylor Swift ,32,1,328, 4/15/2017
42, Little Mix ,120,2,130, 4/15/2017
43, Zendaya ,36,2,135, 4/15/2017
44, Nicky Jam ,47,2,14, 4/15/2017
45, Mario Bautista ,41,2,43, 4/15/2017
46, Anitta ,120,2,19, 4/15/2017
47, Future ,29,13,41, 4/15/2017
48, CNCO ,35,2,7, 4/15/2017
49, Camila Cabello ,25,2,62, 4/15/2017
50, Lucy Hale ,34,2,139, 4/15/2017
