rank,album_name,last_week,peak_position,wks_on_rank,artist_name,date
1, Memories...Do Not Open ,120,1,1, The Chainsmokers , 4/29/2017
2, More Life ,1,1,4, Drake , 4/29/2017
3, Divide ,2,1,6, Ed Sheeran , 4/29/2017
4, PTX Vol. IV: Classics (EP) ,120,4,1, Pentatonix , 4/29/2017
5, All-Amerikkkan Bada$$ ,120,5,1, Joey Bada$$ , 4/29/2017
6, 24K Magic ,4,2,21, Bruno Mars , 4/29/2017
7, Moana ,6,2,21, Soundtrack , 4/29/2017
8, Painting Pictures ,3,3,2, Kodak Black , 4/29/2017
9, FUTURE ,8,1,8, Future , 4/29/2017
10, Pure Comedy ,120,10,1, Father John Misty , 4/29/2017
11, Beauty And The Beast (2017) ,5,3,5, Soundtrack , 4/29/2017
12, Culture ,9,1,11, Migos , 4/29/2017
13, Starboy ,11,1,20, The Weeknd , 4/29/2017
14, American Teen ,15,9,6, Khalid , 4/29/2017
15, Stoney ,14,6,18, Post Malone , 4/29/2017
16, Hardwired...To Self-Destruct ,28,1,21, Metallica , 4/29/2017
17, Trolls ,17,3,29, Soundtrack , 4/29/2017
18, Hamilton: An American Musical ,21,3,81, Original Broadway Cast , 4/29/2017
19, I Decided. ,18,1,10, Big Sean , 4/29/2017
20, HNDRXX ,20,1,7, Future , 4/29/2017
21, Star-light: Recorded Live On Tour ,120,21,1, Bethel Music , 4/29/2017
22, Views ,22,1,50, Drake , 4/29/2017
23, Ripcord ,13,4,49, Keith Urban , 4/29/2017
24, The RCA-List  Vol 4 ,24,10,10, Various Artists , 4/29/2017
25, Rather You Than Me ,16,3,4, Rick Ross , 4/29/2017
26, Birds In The Trap Sing McKnight ,26,1,32, Travis Scott , 4/29/2017
27, Blurryface ,29,1,100, twenty one pilots , 4/29/2017
28, Dominion ,120,28,1, Tech N9ne Collabos , 4/29/2017
29, ANTI ,30,1,64, Rihanna , 4/29/2017
30, Tremaine The Album ,19,3,3, Trey Songz , 4/29/2017
31, The Weight Of These Wings ,12,3,21, Miranda Lambert , 4/29/2017
32, Lovely Little Lonely ,120,32,1, The Maine , 4/29/2017
33, Sing ,31,8,18, Soundtrack , 4/29/2017
34, Coming Home ,120,34,1, Falling In Reverse , 4/29/2017
35, Whiteout Conditions ,120,35,1, The New Pornographers , 4/29/2017
36, Coloring Book ,34,8,48, Chance The Rapper , 4/29/2017
37, Collage (EP) ,41,6,23, The Chainsmokers , 4/29/2017
38, Traveller ,32,1,83, Chris Stapleton , 4/29/2017
39, Death Of A Bachelor ,49,1,65, Panic! At The Disco , 4/29/2017
40, Dig Your Roots ,33,2,33, Florida Georgia Line , 4/29/2017
41,25,38,1,73, Adele , 4/29/2017
42, Lifer ,10,10,2, MercyMe , 4/29/2017
43, Sremmlife 2 ,44,4,35, Rae Sremmurd , 4/29/2017
44, My Moment ,120,44,1, Tee Grizzley , 4/29/2017
45, 4 Your Eyez Only ,48,1,18, J. Cole , 4/29/2017
46, good kid  m.A.A.d city ,50,2,233, Kendrick Lamar , 4/29/2017
47, Dangerous Woman ,47,2,47, Ariana Grande , 4/29/2017
48, Long Live Nut ,27,27,2, YFN Lucci , 4/29/2017
49, Brett Young ,51,18,9, Brett Young , 4/29/2017
