rank,album_name,last_week,peak_position,wks_on_rank,artist_name,date
99, Kane Brown ,141,10,17, Kane Brown , 4/15/2017
100, Cry Baby ,97,6,85, Melanie Martinez , 4/15/2017
101, How Can It Be ,116,28,99, Lauren Daigle , 4/15/2017
102, Mr. Misunderstood ,126,2,73, Eric Church , 4/15/2017
103,21,99,1,319, Adele , 4/15/2017
104, Greatest Hits ,105,3,184, 2Pac , 4/15/2017
105, The Valley ,120,105,1, Betty Who , 4/15/2017
106, Curtain Call: The Hits ,104,1,334, Eminem , 4/15/2017
107, Hot Thoughts ,17,17,2, Spoon , 4/15/2017
108, Artist ,108,70,25, A Boogie Wit da Hoodie , 4/15/2017
109, 4Ever ,101,33,19, Prince , 4/15/2017
110, Blonde ,103,1,32, Frank Ocean , 4/15/2017
111, Deep South ,75,18,3, Josh Turner , 4/15/2017
112, Sing It Now: Songs Of Faith & Hope ,88,4,8, Reba McEntire , 4/15/2017
113, The Perfect LUV Tape ,120,55,33, Lil Uzi Vert , 4/15/2017
114, Chronicle The 20 Greatest Hits ,114,22,308, Creedence Clearwater Revival , 4/15/2017
115, Reloaded: 20 #1 Hits ,107,5,75, Blake Shelton , 4/15/2017
116, There Is A Cloud ,11,11,2, Elevation Worship , 4/15/2017
117, Souvenir ,120,117,1, Drew Holcomb And The Neighbors , 4/15/2017
118, In The Lonely Hour ,121,2,146, Sam Smith , 4/15/2017
119, You Should Be Here ,133,6,45, Cole Swindell , 4/15/2017
120, Unorthodox Jukebox ,117,1,165, Bruno Mars , 4/15/2017
121, Greatest Hits So Far... ,132,20,112, Zac Brown Band , 4/15/2017
122, To Pimp A Butterfly ,188,1,101, Kendrick Lamar , 4/15/2017
123, What A Time To Be Alive ,109,1,79, Drake & Future , 4/15/2017
124, + ,110,5,205, Ed Sheeran , 4/15/2017
125, Windy City ,83,9,6, Alison Krauss , 4/15/2017
126, The Essential Michael Jackson ,125,46,191, Michael Jackson , 4/15/2017
127, Fetty Wap ,130,1,78, Fetty Wap , 4/15/2017
128, A Girl A Bottle A Boat ,118,8,9, Train , 4/15/2017
129, The First Time ,139,31,89, Kelsea Ballerini , 4/15/2017
130, Greatest Hits ,128,3,393, Guns N' Roses , 4/15/2017
131, Encore ,115,8,34, DJ Snake , 4/15/2017
132, Unbreakable ,120,132,1, Selah , 4/15/2017
133, The Essential Billy Joel ,120,15,89, Billy Joel , 4/15/2017
134, Crash My Party ,131,1,185, Luke Bryan , 4/15/2017
135, Night Visions ,136,2,235, Imagine Dragons , 4/15/2017
136, Greatest Hits ,120,1,74, The Notorious B.I.G. , 4/15/2017
137, The Legend Of Johnny Cash ,157,5,255, Johnny Cash , 4/15/2017
138, Here's To The Good Times ,134,4,216, Florida Georgia Line , 4/15/2017
139, Worth The Wait (EP) ,120,139,1, Lindsay Ell , 4/15/2017
140, Rumours ,124,1,216, Fleetwood Mac , 4/15/2017
141,1,142,1,266, The Beatles , 4/15/2017
142, Born To Die ,149,2,269, Lana Del Rey , 4/15/2017
143, Greatest Hits ,144,18,123, Red Hot Chili Peppers , 4/15/2017
144, Trilogy ,153,4,159, The Weeknd , 4/15/2017
145, At What Cost ,120,145,1, GoldLink , 4/15/2017
146, Beyonce ,146,1,166, Beyonce , 4/15/2017
147, Abbey Road ,159,1,209, The Beatles , 4/15/2017
148, The Definitive Collection ,120,35,65, Stevie Wonder , 4/15/2017
149, Hozier ,151,2,125, Hozier , 4/15/2017
150, A / B ,148,16,36, Kaleo , 4/15/2017
151, Big Baby D.R.A.M. ,143,19,23, D.R.A.M. , 4/15/2017
