rank,song_name,last_week,peak_position,wks_on_rank,artist_name,date
91, Teenage Fever ,83,35,4, Drake , 4/29/2017
92, Bar At The End Of The World ,120,92,1, Kenny Chesney , 4/29/2017
93, You're Welcome ,99,65,12, Dwayne Johnson , 4/29/2017
94, At My Best ,120,88,2, Machine Gun Kelly Featuring Hailee Steinfeld , 4/29/2017
95, Still Got Time ,120,66,2, Zayn Featuring PARTYNEXTDOOR , 4/29/2017
96, Subeme La Radio ,81,81,2, Enrique Iglesias Featuring Descemer Bueno  Zion & Lennox , 4/29/2017
97, Weak ,120,97,1, AJR , 4/29/2017
98, How Far I'll Go ,92,56,19, Alessia Cara , 4/29/2017
99, If I Told You ,120,99,1, Darius Rucker , 4/29/2017
100, Flatliner ,120,100,1, Cole Swindell , 4/29/2017
