27,Britney Spears,19,2,281,2017-04-01
28,Beyonce,120,1,321,2017-04-01
29,Zendaya,120,13,133,2017-04-01
30,Liam Payne,120,13,9,2017-04-01
31,Jennifer Lopez,18,13,315,2017-04-01
32,Louis Tomlinson,27,13,13,2017-04-01
33,J Balvin,25,13,20,2017-04-01
34,Taylor Swift,120,1,326,2017-04-01
35,Adele,28,1,238,2017-04-01
36,The Chainsmokers,41,13,32,2017-04-01
37,Big Sean,47,13,32,2017-04-01
38,twenty one pilots,31,13,48,2017-04-01
39,Little Mix,29,13,129,2017-04-01
40,Nicki Minaj,7,13,325,2017-04-01
41,CNCO,37,13,5,2017-04-01
42,Jacob Sartorius,46,13,41,2017-04-01
43,DJ Morphius,40,13,7,2017-04-01
44,Coldplay,32,9,173,2017-04-01
45,Ricky Martin,120,13,12,2017-04-01
46,Marshmello,50,13,24,2017-04-01
47,Anitta,120,13,18,2017-04-01
48,Snow Tha Product,120,13,1,2017-04-01
49,Nicky Jam,39,13,12,2017-04-01
50,Mario Bautista,23,13,41,2017-04-01
1,BTS,1,13,22,2017-03-25
2,Justin Bieber,2,1,329,2017-03-25
3,Rihanna,33,1,318,2017-03-25
4,Ed Sheeran,6,3,114,2017-03-25
5,Ariana Grande,3,13,225,2017-03-25
6,Zayn,25,13,57,2017-03-25
7,Nicki Minaj,4,13,324,2017-03-25
8,Shawn Mendes,5,13,116,2017-03-25
9,Maluma,7,13,21,2017-03-25
10,The Weeknd,8,13,77,2017-03-25
11,Demi Lovato,11,13,318,2017-03-25
12,Lauren Jauregui,26,13,14,2017-03-25
13,Katy Perry,16,1,325,2017-03-25
14,GOT7,37,13,12,2017-03-25
15,Drake,22,13,304,2017-03-25
16,Niall Horan,17,13,23,2017-03-25
17,Shakira,27,13,323,2017-03-25
18,Jennifer Lopez,15,13,314,2017-03-25
19,Britney Spears,28,2,280,2017-03-25
20,Chris Brown,32,13,299,2017-03-25
21,Fifth Harmony,120,13,88,2017-03-25
22,Ivete Sangalo,14,13,2,2017-03-25
23,Mario Bautista,34,13,40,2017-03-25
24,Camila Cabello,9,13,59,2017-03-25
25,J Balvin,20,13,19,2017-03-25
26,Chance The Rapper,49,13,25,2017-03-25
27,Louis Tomlinson,18,13,12,2017-03-25
28,Adele,38,1,237,2017-03-25
29,Little Mix,35,13,128,2017-03-25
30,Lali,12,13,39,2017-03-25
31,twenty one pilots,29,13,47,2017-03-25
32,Coldplay,45,9,172,2017-03-25
33,Justin Timberlake,19,1,270,2017-03-25
34,Steve Aoki,120,13,7,2017-03-25
35,Bruno Mars,30,2,258,2017-03-25
36,Selena Gomez,13,13,325,2017-03-25
37,CNCO,48,13,4,2017-03-25
38,Halsey,43,8,35,2017-03-25
39,Nicky Jam,120,13,11,2017-03-25
40,DJ Morphius,40,13,6,2017-03-25
41,The Chainsmokers,21,13,31,2017-03-25
42,Martin Garrix,24,13,139,2017-03-25
43,Future,23,13,39,2017-03-25
44,Wiz Khalifa,50,13,313,2017-03-25
45,Ciara,120,13,50,2017-03-25
46,Jacob Sartorius,36,13,40,2017-03-25
47,Big Sean,120,13,31,2017-03-25
48,Madison Beer,120,13,3,2017-03-25
49,Snoop Dogg,120,13,290,2017-03-25
50,Marshmello,46,13,23,2017-03-25
1,BTS,1,13,21,2017-03-18
2,Justin Bieber,4,1,328,2017-03-18
3,Ariana Grande,2,13,224,2017-03-18
4,Nicki Minaj,43,13,323,2017-03-18
5,Shawn Mendes,6,13,115,2017-03-18
6,Ed Sheeran,3,3,113,2017-03-18
7,Maluma,5,13,20,2017-03-18
8,The Weeknd,9,13,76,2017-03-18
9,Camila Cabello,23,13,58,2017-03-18
10,Miley Cyrus,12,1,256,2017-03-18
11,Demi Lovato,18,13,317,2017-03-18
12,Lali,10,13,38,2017-03-18
13,Selena Gomez,13,13,324,2017-03-18
14,Ivete Sangalo,120,13,1,2017-03-18
15,Jennifer Lopez,16,13,313,2017-03-18
16,Katy Perry,11,1,324,2017-03-18
17,Niall Horan,31,13,22,2017-03-18
18,Louis Tomlinson,15,13,11,2017-03-18
19,Justin Timberlake,120,1,269,2017-03-18
20,J Balvin,21,13,18,2017-03-18
21,The Chainsmokers,19,13,30,2017-03-18
22,Drake,8,13,303,2017-03-18
23,Future,25,13,38,2017-03-18
24,Martin Garrix,32,13,138,2017-03-18
25,Zayn,17,13,56,2017-03-18
26,Lauren Jauregui,47,13,13,2017-03-18
27,Shakira,35,13,322,2017-03-18
28,Britney Spears,34,2,279,2017-03-18
29,twenty one pilots,41,13,46,2017-03-18
30,Bruno Mars,120,2,257,2017-03-18
31,TAEYEON,20,13,6,2017-03-18
32,Chris Brown,30,13,298,2017-03-18
33,Rihanna,22,1,317,2017-03-18
34,Mario Bautista,29,13,39,2017-03-18
35,Little Mix,24,13,127,2017-03-18
36,Jacob Sartorius,7,13,39,2017-03-18
37,GOT7,120,13,11,2017-03-18
38,Adele,120,1,236,2017-03-18
39,Alicia Keys,120,6,112,2017-03-18
40,DJ Morphius,40,13,5,2017-03-18
41,Stormzy,120,13,1,2017-03-18
42,Mon Laferte,120,13,1,2017-03-18
43,Halsey,120,8,34,2017-03-18
44,John Legend,120,13,10,2017-03-18
45,Coldplay,120,9,171,2017-03-18
46,Marshmello,45,13,22,2017-03-18
47,Lady Gaga,120,1,321,2017-03-18
48,CNCO,49,13,3,2017-03-18
49,Chance The Rapper,37,13,24,2017-03-18
50,Wiz Khalifa,27,13,312,2017-03-18
1,BTS,1,13,20,2017-03-11
2,Ariana Grande,2,13,223,2017-03-11
3,Ed Sheeran,7,3,112,2017-03-11
4,Justin Bieber,4,1,327,2017-03-11
5,Maluma,18,13,19,2017-03-11
6,Shawn Mendes,27,13,114,2017-03-11
7,Jacob Sartorius,9,13,38,2017-03-11
8,Drake,19,13,302,2017-03-11
9,The Weeknd,10,13,75,2017-03-11
10,Lali,14,13,37,2017-03-11
11,Katy Perry,17,1,323,2017-03-11
12,Miley Cyrus,12,1,255,2017-03-11
13,Selena Gomez,3,13,323,2017-03-11
14,Lana Del Rey,120,13,109,2017-03-11
15,Louis Tomlinson,15,13,10,2017-03-11
16,Jennifer Lopez,13,13,312,2017-03-11
17,Zayn,11,13,55,2017-03-11
18,Demi Lovato,5,13,316,2017-03-11
19,The Chainsmokers,29,13,29,2017-03-11
20,TAEYEON,120,13,5,2017-03-11
21,J Balvin,28,13,17,2017-03-11
22,Rihanna,31,1,316,2017-03-11
23,Camila Cabello,8,13,57,2017-03-11
24,Little Mix,47,13,126,2017-03-11
25,Future,120,13,37,2017-03-11
26,Snoop Dogg,25,13,289,2017-03-11
27,Wiz Khalifa,120,13,311,2017-03-11
28,Lucy Hale,37,13,136,2017-03-11
29,Mario Bautista,26,13,38,2017-03-11
30,Chris Brown,120,13,297,2017-03-11
31,Niall Horan,120,13,21,2017-03-11
32,Martin Garrix,35,13,137,2017-03-11
33,Big Sean,30,13,30,2017-03-11
34,Britney Spears,34,2,278,2017-03-11
35,Shakira,48,13,321,2017-03-11
36,Nicky Jam,39,13,10,2017-03-11
37,Chance The Rapper,6,13,23,2017-03-11
38,5 Seconds Of Summer,120,2,137,2017-03-11
39,Bebe Rexha,45,13,4,2017-03-11
40,DJ Morphius,44,13,4,2017-03-11
41,twenty one pilots,21,13,45,2017-03-11
42,Migos,120,13,4,2017-03-11
43,Nicki Minaj,22,13,322,2017-03-11
44,Beyonce,24,1,320,2017-03-11
45,Marshmello,43,13,21,2017-03-11
46,Luis Fonsi,120,13,2,2017-03-11
47,Lauren Jauregui,23,13,12,2017-03-11
48,BLACKPINK,120,13,7,2017-03-11
49,CNCO,120,13,2,2017-03-11
50,Wesley Safadao,120,13,6,2017-03-11
1,BTS,1,13,19,2017-03-04
2,Ariana Grande,3,13,222,2017-03-04
3,Selena Gomez,5,13,322,2017-03-04
4,Justin Bieber,12,1,326,2017-03-04
5,Demi Lovato,18,13,315,2017-03-04
6,Chance The Rapper,22,13,22,2017-03-04
7,Ed Sheeran,19,3,111,2017-03-04
8,Camila Cabello,31,13,56,2017-03-04
9,Jacob Sartorius,50,13,37,2017-03-04
10,The Weeknd,17,13,74,2017-03-04
11,Zayn,6,13,54,2017-03-04
12,Miley Cyrus,33,1,254,2017-03-04
13,Jennifer Lopez,16,13,311,2017-03-04
14,Lali,21,13,36,2017-03-04
15,Louis Tomlinson,7,13,9,2017-03-04
16,Lady Gaga,2,1,320,2017-03-04
17,Katy Perry,27,1,322,2017-03-04
18,Maluma,9,13,18,2017-03-04
