16, Big Sean ,13,1,84, 2017-04-01
17, Alessia Cara ,17,1,80, 2017-04-01
18, Nicki Minaj ,53,1,132, 2017-04-01
19, Sam Hunt ,18,1,135, 2017-04-01
20, Taylor Swift ,19,1,138, 2017-04-01
21, Josh Turner ,120,1,1, 2017-04-01
22, Kodak Black ,25,1,11, 2017-04-01
23, Lady Gaga ,16,1,42, 2017-04-01
24, Lorde ,24,1,40, 2017-04-01
25, Katy Perry ,21,6,136, 2017-04-01
26, Zayn ,26,1,47, 2017-04-01
27, Selena Gomez ,57,1,118, 2017-04-01
28, Rae Sremmurd ,27,1,106, 2017-04-01
29, Imagine Dragons ,22,2,110, 2017-04-01
30, Little Big Town ,23,1,61, 2017-04-01
31, Marian Hill ,33,1,9, 2017-04-01
32, Justin Timberlake ,30,5,96, 2017-04-01
33, James Arthur ,39,1,11, 2017-04-01
34, Coldplay ,29,4,94, 2017-04-01
35, Keith Urban ,32,1,103, 2017-04-01
36, Jon Pardi ,43,1,22, 2017-04-01
37, BTS ,31,1,23, 2017-04-01
38, J. Cole ,37,1,101, 2017-04-01
39, Eminem ,41,1,142, 2017-04-01
40, Sia ,38,1,142, 2017-04-01
41, Luke Bryan ,34,1,141, 2017-04-01
42, The Shins ,120,1,1, 2017-04-01
43, Florida Georgia Line ,40,1,142, 2017-04-01
44, Clean Bandit ,36,1,28, 2017-04-01
45, Post Malone ,48,1,38, 2017-04-01
46, Julia Michaels ,44,1,6, 2017-04-01
47, Michael Jackson ,55,1,110, 2017-04-01
48, Beyonce ,46,2,140, 2017-04-01
49, Lil Wayne ,120,1,19, 2017-04-01
50, Travis Scott ,45,1,53, 2017-04-01
51, Khalid ,28,28,2, 2017-04-01
52, Jason Aldean ,49,1,133, 2017-04-01
53, Thomas Rhett ,52,1,111, 2017-04-01
54, Panic! At The Disco ,61,1,69, 2017-04-01
55, Gucci Mane ,47,1,23, 2017-04-01
56, Lil Uzi Vert ,42,1,37, 2017-04-01
57, Blake Shelton ,54,1,142, 2017-04-01
58, Train ,58,1,13, 2017-04-01
59, Brett Young ,59,1,15, 2017-04-01
60, John Legend ,51,1,96, 2017-04-01
61, Brantley Gilbert ,50,1,48, 2017-04-01
62, Daft Punk ,67,1,26, 2017-04-01
63, KYLE ,62,62,8, 2017-04-01
64, Chris Brown ,56,1,136, 2017-04-01
65, Camila Cabello ,68,1,25, 2017-04-01
66, Auli'i Cravalho ,85,1,4, 2017-04-01
67, Calvin Harris ,65,1,103, 2017-04-01
68, Kendrick Lamar ,64,1,113, 2017-04-01
69, Childish Gambino ,83,1,29, 2017-04-01
70, Eric Church ,72,1,135, 2017-04-01
71, DJ Snake ,71,1,96, 2017-04-01
72, Chris Stapleton ,76,1,73, 2017-04-01
73, Zac Brown Band ,120,1,103, 2017-04-01
74, Garth Brooks ,35,7,29, 2017-04-01
75, Michael Ray ,74,57,7, 2017-04-01
76, Niall Horan ,69,1,25, 2017-04-01
77, Carrie Underwood ,73,3,129, 2017-04-01
78, Zedd ,81,1,30, 2017-04-01
79, P!nk ,75,16,61, 2017-04-01
80, Frank Ocean ,120,1,7, 2017-04-01
81, Bebe Rexha ,63,1,37, 2017-04-01
82, Linkin Park ,120,49,13, 2017-04-01
83, Dierks Bentley ,77,1,75, 2017-04-01
84, Lil Yachty ,82,1,30, 2017-04-01
85, DJ Khaled ,66,1,38, 2017-04-01
86, Prince ,93,1,36, 2017-04-01
87, Meghan Trainor ,78,1,138, 2017-04-01
88, Kygo ,86,1,5, 2017-04-01
89, Shakira ,90,1,28, 2017-04-01
90, The Lumineers ,87,1,45, 2017-04-01
91, Cole Swindell ,99,1,119, 2017-04-01
92, Kelsea Ballerini ,84,1,46, 2017-04-01
93, Russ ,120,93,1, 2017-04-01
94, Luke Combs ,97,1,2, 2017-04-01
95, Kenny Chesney ,92,2,109, 2017-04-01
96, Old Dominion ,120,1,54, 2017-04-01
97, Machine Gun Kelly ,88,1,17, 2017-04-01
98, Fleetwood Mac ,120,58,8, 2017-04-01
99, Nicky Jam ,89,1,9, 2017-04-01
100, Reba McEntire ,95,1,11, 2017-04-01
1, Ed Sheeran ,3,1,135, 2017-03-25
2, Bruno Mars ,2,1,129, 2017-03-25
3, Future ,1,1,86, 2017-03-25
4, Metallica ,14,2,91, 2017-03-25
5, The Weeknd ,4,1,126, 2017-03-25
6, Rihanna ,6,2,137, 2017-03-25
7, The Chainsmokers ,5,1,67, 2017-03-25
8, Drake ,8,1,141, 2017-03-25
9, Migos ,9,1,22, 2017-03-25
10, Adele ,10,1,110, 2017-03-25
